"state_0708","region_0708","n","pct_any_na","miss_dmean_num_ENROLLMENT_COST","miss_DIST_FROM_NEAREST_PRIMARY_CLASS","miss_father_educ","is_urban","is_female","is_hindu","is_muslim","is_st_sc_obc","region_diagnostic_level"
"Lakshadweep","Lakshadweep",256,100,100,0,6.64,67.19,53.91,0.78,98.44,98.83,"state_region"
"Rajasthan","Southern",767,47.2,44.98,0,3.26,27.64,52.41,89.83,9.65,79.79,"state_region"
"Arunachal Pradesh","Arunachal Pradesh",1485,46.4,43.77,2.49,3.43,35.22,50.98,23.03,1.68,75.15,"state_region"
"Jharkhand","Hazaribagh Plateau",1850,43.46,40.65,0,4.97,23.73,53.41,81.03,15.41,86.43,"state_region"
"Gujrat","Saurashtra",1487,27.77,25.69,0,3.16,39.48,53.8,86.01,13.32,74.11,"state_region"
"Bihar","Northern",6808,29.32,24.93,1.16,4.04,14.39,57.56,79.33,20.51,85.9,"state_region"
"Chhattisgarh","Southern Chhattishgarh",441,28.8,23.36,0.45,8.16,23.13,51.47,96.83,2.27,92.29,"state_region"
"Bihar","Central",4377,27.1,22.21,0.18,5.3,22.25,54.67,90.68,9.09,84.33,"state_region"
"Karnataka","Coastal & Ghats",393,23.66,21.88,0,1.78,35.62,54.45,72.26,23.92,49.36,"state_region"
"Assam","Cachar Plain",515,25.63,21.75,0,4.47,28.54,66.02,65.05,25.05,57.09,"state_region"
"Mizoram","Mizoram",1533,22.44,19.24,0,4.04,57.21,53.62,0.46,0.26,99.54,"state_region"
"Delhi","Delhi",1310,18.63,14.27,0,4.96,88.4,56.49,79.62,15.8,47.56,"state_region"
"Rajasthan","North-Eastern",2288,18.71,12.85,0,6.51,29.15,54.5,86.28,11.89,78.15,"state_region"
"Orissa","Southern",1684,15.44,12.83,0,3.33,26.13,53.62,96.79,0.59,84.8,"state_region"
"Madhya Pradesh","Northern",1140,16.32,12.81,0.18,4.12,31.4,57.98,90.18,9.21,69.74,"state_region"
"Assam","Plains Western",927,14.67,11.97,0,3.99,26.75,52.75,49.95,49.51,33.01,"state_region"
"Uttar Pradesh","Central",2525,13.15,9.07,0,4.51,30.69,53.74,77.82,21.78,76.28,"state_region"
"Himachal Pradesh","Trans Himalayan & Southern",922,13.77,7.7,0,6.29,20.61,55.42,87.74,4.88,43.49,"state_region"
"Uttaranchal","Uttaranchal",1843,9.5,5.86,0.81,3.64,34.13,51.33,77.65,21.32,48.51,"state_region"
"Jammu & Kashmir","Outer Hills",327,7.03,4.89,0,2.14,28.44,52.91,75.84,23.85,29.97,"state_region"
